time,temperature,humidity
Nitrogen:,1,3,2,0,0,B8,44,,=,0,mg/kg,2023-04-01 13:32:21
Phosphorous:,1,3,2,0,0,B8,44,,=,0,mg/kg,2023-04-01 13:32:23
Potassium:,1,3,2,0,0,B8,44,,=,0,mg/kg,2023-04-01 13:32:25
,2023-04-01 13:32:25
,2023-04-01 13:32:25
Moisture,level:,2023-04-01 13:32:26
610,2023-04-01 13:32:26
Moisture,level:,2023-04-01 13:32:31
589,2023-04-01 13:32:31
Moisture,level:,2023-04-01 13:32:36
589,2023-04-01 13:32:36
Moisture,level:,2023-04-01 13:32:41
595,2023-04-01 13:32:41
Moisture,level:,2023-04-01 13:32:46
598,2023-04-01 13:32:46
,2023-04-01 13:32:51
Nitrogen:,1,3,2,0,17,F8,4A,,=,23,mg/kg,2023-04-01 13:32:51
Phosphorous:,1,3,2,0,64,B9,AF,,=,100,mg/kg,2023-04-01 13:32:53
Potassium:,1,3,2,0,5D,79,BD,,=,93,mg/kg,2023-04-01 13:32:55
,2023-04-01 13:32:55
,2023-04-01 13:32:55
Moisture,level:,2023-04-01 13:32:56
600,2023-04-01 13:32:56
Moisture,level:,2023-04-01 13:33:01
629,2023-04-01 13:33:01
Moisture,level:,2023-04-01 13:33:06
596,2023-04-01 13:33:06
Moisture,level:,2023-04-01 13:33:11
599,2023-04-01 13:33:11
